#timestamp x y z qx qy qz qw
1670531260.50669813 1.32558749 -6.82669560 0.10271557 -0.00446299 -0.00386046 -0.06721769 0.99772088
1670531260.60347724 1.41425257 -6.84496073 0.10343223 -0.00378599 -0.00134510 -0.06340752 0.99797963
1670531260.70337558 1.50360222 -6.85148853 0.10807954 -0.00634935 -0.00520864 -0.05665939 0.99835979
1670531260.80347395 1.57834535 -6.87136905 0.10159150 -0.00463222 -0.00230089 -0.05499379 0.99847330
1670531260.90346980 1.68422556 -6.87421572 0.10878720 -0.00594061 -0.00365681 -0.05852048 0.99826183
1670531261.00354695 1.77029552 -6.88215297 0.10476609 -0.00628033 -0.00281067 -0.05748092 0.99832289
1670531261.10363460 1.86767271 -6.88399350 0.10195283 -0.00616882 -0.00647617 -0.06249622 0.99800512
1670531261.20375943 1.96172196 -6.89295586 0.11071799 -0.00585524 -0.00634609 -0.06965254 0.99753394
1670531261.30381227 2.05778422 -6.90320657 0.10712091 -0.00740772 -0.00996947 -0.07472088 0.99712714
1670531261.40686917 2.15737404 -6.91383789 0.10629250 -0.00701834 -0.00757138 -0.08092306 0.99666688
1670531261.50352526 2.25886062 -6.92253514 0.11483938 -0.00492609 -0.00478573 -0.08116293 0.99667718
1670531261.60334301 2.34909972 -6.93530310 0.11495874 -0.00667593 -0.00525342 -0.08041619 0.99672517
1670531261.70321727 2.43838092 -6.94174363 0.11154397 -0.00689850 -0.00576617 -0.07882409 0.99684799
1670531261.80320477 2.52366652 -6.96009243 0.11565436 -0.00461839 -0.00359865 -0.07983101 0.99679122
1670531261.90312123 2.61549843 -6.97581790 0.11423441 -0.00940958 -0.00593545 -0.07863452 0.99684143
1670531262.00312400 2.70299176 -6.98819063 0.11848733 -0.00758554 -0.00650540 -0.07332840 0.99725778
1670531262.10299897 2.81073457 -6.99984416 0.11555443 -0.00661752 -0.00518705 -0.06518657 0.99783767
1670531262.20256138 2.93332384 -6.99560189 0.12518707 -0.00767820 -0.00521586 -0.03921725 0.99918759
1670531262.30230880 3.03480654 -6.98526631 0.12802563 -0.00925147 -0.00703486 -0.00318258 0.99992739
1670531262.40233660 3.11622253 -6.97990669 0.12284640 -0.00606740 -0.00562210 0.02658804 0.99961225
1670531262.50267124 3.17829981 -6.98115437 0.14354970 -0.00633119 -0.00994456 0.05321229 0.99851363
1670531262.60350919 3.20776616 -6.99288802 0.12372185 -0.00711879 -0.00455638 0.06557672 0.99781173
1670531262.70432639 3.27724156 -7.00311397 0.13587758 -0.00414828 -0.00589356 0.06083005 0.99812212
1670531262.80475950 3.39898708 -6.99210637 0.12901111 -0.00656522 -0.00838096 0.06253451 0.99798602
1670531262.90488076 3.52128313 -6.98561132 0.12490203 -0.00572558 -0.00212265 0.06308614 0.99798940
1670531263.00477552 3.63116093 -6.97430885 0.12762129 -0.00504650 0.00033863 0.06228693 0.99804547
1670531263.10442781 3.73512128 -6.95416653 0.13033922 -0.00585273 -0.00417538 0.06328749 0.99796944
